TIMESTAMP,year,doy,VWC0,VWC20,Watertable,rWatertable
2016-01-01,2016.00,1.00,,,,
2016-01-02,2016.00,2.00,,,,
2016-01-03,2016.00,3.00,,,,
2016-01-04,2016.00,4.00,,,,
2016-01-05,2016.00,5.00,,,-31.40,-0.14
2016-01-06,2016.00,6.00,,,-31.10,-0.14
2016-01-07,2016.00,7.00,,,-29.62,-0.14
2016-01-08,2016.00,8.00,,,-28.54,-0.13
2016-01-09,2016.00,9.00,,,-31.74,-0.14
2016-01-10,2016.00,10.00,,,,
2016-01-11,2016.00,11.00,,,,
2016-01-12,2016.00,12.00,,,-43.23,-0.15
2016-01-13,2016.00,13.00,,,-43.98,-0.15
2016-01-14,2016.00,14.00,,,-43.35,-0.15
2016-01-15,2016.00,15.00,,,-43.46,-0.15
2016-01-16,2016.00,16.00,,,-45.54,-0.15
2016-01-17,2016.00,17.00,,,-49.11,-0.16
2016-01-18,2016.00,18.00,,,-51.08,-0.16
2016-01-19,2016.00,19.00,,,-52.58,-0.16
2016-01-20,2016.00,20.00,,,-52.39,-0.16
2016-01-21,2016.00,21.00,,,-51.31,-0.16
2016-01-22,2016.00,22.00,,,-51.48,-0.16
2016-01-23,2016.00,23.00,,,-51.69,-0.16
2016-01-24,2016.00,24.00,,,-50.29,-0.16
2016-01-25,2016.00,25.00,,,-49.21,-0.16
2016-01-26,2016.00,26.00,,,-48.67,-0.16
2016-01-27,2016.00,27.00,,,-48.77,-0.15
2016-01-28,2016.00,28.00,,,-48.19,-0.15
2016-01-29,2016.00,29.00,,,-49.27,-0.16
2016-01-30,2016.00,30.00,,,-48.33,-0.15
2016-01-31,2016.00,31.00,,,-47.96,-0.15
2016-02-01,2016.00,32.00,,,-47.12,-0.15
2016-02-02,2016.00,33.00,,,-47.06,-0.15
2016-02-03,2016.00,34.00,,,-48.42,-0.15
2016-02-04,2016.00,35.00,,,-49.88,-0.16
2016-02-05,2016.00,36.00,,,-50.81,-0.16
2016-02-06,2016.00,37.00,,,-50.25,-0.16
2016-02-07,2016.00,38.00,,,-49.21,-0.16
2016-02-08,2016.00,39.00,,,-50.35,-0.16
2016-02-09,2016.00,40.00,,,-53.02,-0.16
2016-02-10,2016.00,41.00,,,-55.42,-0.16
2016-02-11,2016.00,42.00,,,-57.69,-0.16
2016-02-12,2016.00,43.00,,,-58.42,-0.16
2016-02-13,2016.00,44.00,,,-61.82,-0.17
2016-02-14,2016.00,45.00,,,-62.17,-0.17
2016-02-15,2016.00,46.00,,,-60.77,-0.17
2016-02-16,2016.00,47.00,,,-59.94,-0.17
2016-02-17,2016.00,48.00,,,-62.60,-0.17
2016-02-18,2016.00,49.00,,,-61.83,-0.17
2016-02-19,2016.00,50.00,,,-60.21,-0.17
2016-02-20,2016.00,51.00,,,-58.94,-0.17
2016-02-21,2016.00,52.00,,,-58.69,-0.16
2016-02-22,2016.00,53.00,,,-58.56,-0.17
2016-02-23,2016.00,54.00,,,-57.60,-0.16
2016-02-24,2016.00,55.00,,,-56.77,-0.16
2016-02-25,2016.00,56.00,,,-56.56,-0.16
2016-02-26,2016.00,57.00,,,-57.25,-0.16
2016-02-27,2016.00,58.00,,,-56.56,-0.16
2016-02-28,2016.00,59.00,,,-55.67,-0.16
2016-02-29,2016.00,60.00,,,-57.12,-0.16
2016-03-01,2016.00,61.00,,,-60.77,-0.17
2016-03-02,2016.00,62.00,,,-61.71,-0.17
2016-03-03,2016.00,63.00,,,-61.23,-0.17
2016-03-04,2016.00,64.00,,,-62.52,-0.17
2016-03-05,2016.00,65.00,,,-61.73,-0.17
2016-03-06,2016.00,66.00,,,-61.33,-0.17
2016-03-07,2016.00,67.00,,,-59.77,-0.17
2016-03-08,2016.00,68.00,,,-57.73,-0.16
2016-03-09,2016.00,69.00,,,-56.58,-0.16
2016-03-10,2016.00,70.00,,,-56.17,-0.16
2016-03-11,2016.00,71.00,,,-55.33,-0.16
2016-03-12,2016.00,72.00,,,-54.19,-0.16
2016-03-13,2016.00,73.00,,,-53.02,-0.16
2016-03-14,2016.00,74.00,,,-51.62,-0.16
2016-03-15,2016.00,75.00,,,-49.50,-0.16
2016-03-16,2016.00,76.00,,,-48.33,-0.15
2016-03-17,2016.00,77.00,,,-48.50,-0.15
2016-03-18,2016.00,78.00,,,-48.73,-0.15
2016-03-19,2016.00,79.00,,,-49.04,-0.16
2016-03-20,2016.00,80.00,,,-48.52,-0.15
